,lr,weight decay,hidden size,val acc
0,0.24752157219042198,2.546591239423651e-07,292.0,0.98125
1,0.23255567876548894,1.2745841714141883e-05,267.0,0.9811666666666666
2,0.24175048710643954,5.361182401599098e-05,274.0,0.9811666666666666
3,0.22328090001926837,1.5403388188196372e-06,252.0,0.9809166666666667
4,0.2321697273361875,4.9305500837501344e-05,282.0,0.9808333333333333
5,0.18507608789577576,9.307791446181603e-07,261.0,0.9808333333333333
6,0.23109405148026593,8.679479475452856e-07,288.0,0.98025
7,0.22461006163887118,8.636323401429165e-05,203.0,0.9800833333333333
8,0.19113385644168773,1.1413191964247618e-05,272.0,0.98
9,0.21371790467074547,1.8556354793309257e-06,298.0,0.9799166666666667
10,0.23992562999034353,3.702868289160991e-05,247.0,0.9798333333333333
11,0.18381649842356437,2.884889172287093e-07,282.0,0.9798333333333333
12,0.22080974628848576,1.0683862872363182e-05,288.0,0.97975
13,0.19777638323161653,3.597378973373474e-06,267.0,0.9796666666666667
14,0.21084258109746964,4.6823909404159266e-07,266.0,0.9795833333333334
15,0.20321563058874528,5.254191417781557e-05,219.0,0.9795
16,0.19419255056192083,3.030606122714532e-05,293.0,0.9794166666666667
17,0.19207585288966342,2.126012025019545e-05,266.0,0.9794166666666667
18,0.16450902781726337,1.0383575185414698e-06,200.0,0.9794166666666667
19,0.1857659203609815,5.010408914873348e-06,276.0,0.9794166666666667
20,0.18165513212238604,2.306371262120434e-05,283.0,0.9793333333333333
21,0.24313211621261183,6.910459108103778e-07,210.0,0.9793333333333333
22,0.20519539849250934,2.8409340238324462e-06,290.0,0.9793333333333333
23,0.2119173379011831,2.8017412358037173e-06,257.0,0.9793333333333333
24,0.2171426623602652,1.2702408109916973e-07,277.0,0.97925
25,0.21036170787202566,2.3600539563461043e-06,250.0,0.97925
26,0.20779466244641936,4.011005520125497e-05,242.0,0.9790833333333333
27,0.22627234666687873,5.348860762402289e-07,265.0,0.979
28,0.16218459264640836,1.574979700981203e-07,287.0,0.9789166666666667
29,0.21618610895144025,2.58283774003811e-07,244.0,0.9788333333333333
30,0.15919152029137126,7.017949997941245e-05,201.0,0.9788333333333333
31,0.23510932667105677,2.616224693430504e-07,252.0,0.9788333333333333
32,0.2144090287585681,2.1120421172697147e-07,254.0,0.97875
33,0.1566735707963672,2.749102284340813e-07,203.0,0.97875
34,0.19685582454719142,1.0737519312173315e-07,274.0,0.97875
35,0.18675215205482176,3.80717328710921e-06,210.0,0.97875
36,0.15067939589370352,6.150481958066011e-06,259.0,0.9785833333333334
37,0.15561498598609355,5.670216873223261e-07,234.0,0.9785833333333334
38,0.17221346532842546,4.6727409715604206e-07,210.0,0.9785
39,0.17894103521133978,3.5268385358389936e-07,225.0,0.9784166666666667
40,0.18475579015613885,2.160710527475682e-07,274.0,0.9783333333333334
41,0.15451196584598917,7.146735028991192e-07,256.0,0.9783333333333334
42,0.17382499140167024,8.462360972669268e-06,226.0,0.97825
43,0.2273416870177216,7.3777829818181854e-06,271.0,0.9781666666666666
44,0.15753366352522657,1.400434612396833e-07,236.0,0.9780833333333333
45,0.18664858529471506,2.3403951922361508e-07,207.0,0.978
46,0.15504993209393644,7.218085702515411e-06,208.0,0.9779166666666667
47,0.1837956553060056,1.1123971947399937e-05,272.0,0.9778333333333333
48,0.173992725287063,1.2550886498731752e-06,251.0,0.9775833333333334
49,0.16568008320205896,8.232293894034082e-07,219.0,0.97725
